File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana
WCOMP01.fits,1031,25,1900,16.697785975002336,0.915043157894737
WCOMP02.fits,1031,25,1900,16.158772813173094,0.915043157894737
WCOMP03.fits,1031,25,1900,17.27212796520188,0.8023336842105264
WCOMP04.fits,1031,25,1900,16.947008365073952,0.8881794736842106
WCOMP05.fits,1031,25,1900,16.951690223147985,0.8881794736842106
WCOMP06.fits,1031,25,1900,15.673278799647452,0.9081947368421056
WCOMP07.fits,1031,25,1900,16.859971954513878,0.8881794736842106
WCOMP08.fits,1031,25,1900,16.522439884694958,0.8881794736842106
WCOMP09.fits,1031,25,1900,16.549329390059803,0.8881794736842106
WCOMP10.fits,1031,25,1900,16.43422490939142,0.8881794736842106
WCOMP11.fits,1031,25,1900,16.884971788416742,0.8881794736842106
WCOMP12.fits,1031,25,1900,17.233213074270036,0.8023336842105264
WCOMP13.fits,1031,25,1900,16.60558814558547,0.8881794736842106
WCOMP14.fits,1031,25,1900,16.628121112550662,0.8881794736842106
WCOMP15.fits,1031,25,1900,16.94478057859232,0.8881794736842106
WCOMP16.fits,1031,25,1900,16.695512699471962,0.8881794736842106
WCOMP17.fits,1031,25,1900,16.398303135575986,0.8881794736842106
WCOMP18.fits,1031,25,1900,16.35968610704344,0.8881794736842106
WCOMP19.fits,1031,25,1900,16.164990966433933,0.8091821052631578
WCOMP20_A.fits,1031,25,1900,15.88833242033956,0.9081947368421056
WCOMP20_A.fits,1031,25,1900,15.88833242033956,0.9081947368421056
WCOMP21.fits,1031,25,1900,16.278426242514744,0.8813310526315787
WCOMP22.fits,1031,25,1900,16.26129149579331,0.8881794736842106
WCOMP23.fits,1031,25,1900,16.16001588906353,0.915043157894737
WCOMP24.fits,1031,25,1900,17.050243472988832,0.8881794736842106
WCOMP25.fits,1031,25,1900,15.888962855735521,0.915043157894737
WCOMP26.fits,1031,25,1900,17.0265165228177,0.8091821052631578
WCOMP27.fits,1031,25,1900,16.995048357072786,0.8813310526315787
WCOMP28.fits,1031,25,1900,17.07666433439773,0.8813310526315787
WCOMP29.fits,1031,25,1900,17.11606312426989,0.915043157894737
WCOMP30.fits,1031,25,1900,17.11606312426989,0.915043157894737
WCOMP31.fits,1031,25,1900,17.373065965643995,0.915043157894737
