File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,795,25,1900,23.719640815007274,0.0,1849.1248216717352
WCOMP02.fits,795,25,1900,23.178696516962194,0.0,1860.4423227741909
WCOMP03.fits,795,25,1900,24.30151677613939,0.0,1850.1387075747577
WCOMP04.fits,795,25,1900,24.056844892487756,0.0,1849.9471890696313
WCOMP05.fits,795,25,1900,24.05241694134389,0.0,1850.0491404066308
WCOMP06.fits,795,25,1900,22.585533751325848,0.0,1861.4713702927395
WCOMP07.fits,795,25,1900,23.975696946223007,0.0,1850.22433444263
WCOMP08.fits,795,25,1900,23.54141395710366,0.0,1849.9997819673542
WCOMP09.fits,795,25,1900,23.56189386791056,0.0,1850.001174446575
WCOMP10.fits,795,25,1900,23.435208301963403,0.0,1850.0267616827005
WCOMP11.fits,795,25,1900,23.90156180361281,0.0,1849.8571920488162
WCOMP12.fits,795,25,1900,24.320500374957234,0.0,1850.2529315476556
WCOMP13.fits,795,25,1900,23.632188669014624,0.0,1849.7388877487542
WCOMP14.fits,795,25,1900,23.638029377823965,0.0,1849.6605404321945
WCOMP15.fits,795,25,1900,24.059250303949018,0.0,1849.8492112244894
WCOMP16.fits,795,25,1900,23.79539326647241,0.0,1849.9104309293612
WCOMP17.fits,795,25,1900,23.475922922453815,0.0,1850.0467199462746
WCOMP18.fits,795,25,1900,23.42563234797616,0.0,1849.8634512960705
WCOMP19.fits,795,25,1900,23.364853928483992,0.0,1849.1895404565505
WCOMP20_A.fits,795,25,1900,22.762678511779615,0.0,1861.3857913663596
WCOMP20_A.fits,795,25,1900,22.762678511779615,0.0,1861.3857913663596
WCOMP21.fits,795,25,1900,23.194356814303475,0.0,1849.9387667802803
WCOMP22.fits,795,25,1900,23.16501549565835,0.0,1849.8208481998736
WCOMP23.fits,795,25,1900,23.070650677832973,0.0,1849.9471566242212
WCOMP24.fits,795,25,1900,24.076672392661667,0.0,1849.9329546322406
WCOMP25.fits,795,25,1900,22.8446941481512,0.0,1860.4175053546742
WCOMP26.fits,795,25,1900,24.39206133500522,0.0,1849.7564515899917
WCOMP27.fits,795,25,1900,24.103165843662516,0.0,1850.172587336539
WCOMP28.fits,795,25,1900,24.192467474640676,0.0,1850.2624425511576
WCOMP29.fits,795,25,1900,24.141342789674148,0.0,1850.0789734907219
WCOMP30.fits,795,25,1900,24.141342789674148,0.0,1850.0789734907219
WCOMP31.fits,795,25,1900,24.58370117912193,0.0,1850.2509863785806
