File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,505,25,1900,26.417148177511407,0.21702249440623064,1026.1019745715591
WCOMP02.fits,505,25,1900,25.806344769074258,0.21708865552285497,1028.596980067689
WCOMP03.fits,505,25,1900,26.689813000118864,0.21719013567724615,1028.3197269069187
WCOMP04.fits,505,25,1900,26.5519994734108,0.217153197169333,1028.4006161346576
WCOMP05.fits,505,25,1900,26.544074725597422,0.2171518932062528,1028.4059066632224
WCOMP06.fits,505,25,1900,25.279043765104426,0.2169701369849586,1026.3395600994181
WCOMP07.fits,505,25,1900,26.42128709843874,0.21714025198783732,1028.3614170436845
WCOMP08.fits,505,25,1900,26.11257689064115,0.21702918154959921,1028.6025939181454
WCOMP09.fits,505,25,1900,26.134771389331927,0.21702871820835334,1028.6039863973658
WCOMP10.fits,505,25,1900,26.025671318303296,0.217041725260134,1028.6032115948274
WCOMP11.fits,505,25,1900,26.44767712376299,0.21705427216493045,1028.5654521542633
WCOMP12.fits,505,25,1900,26.694858492302284,0.21718106547791982,1028.3372900713816
WCOMP13.fits,505,25,1900,26.20821941612479,0.2170381815194885,1028.5965327399674
WCOMP14.fits,505,25,1900,26.21677720803192,0.2170356918973885,1028.5972715394005
WCOMP15.fits,505,25,1900,26.619717207904216,0.21706306225702365,1028.5311092912737
WCOMP16.fits,505,25,1900,26.371634947968825,0.21706302713680153,1028.557179611259
WCOMP17.fits,505,25,1900,26.006136291742926,0.21710775274764818,1028.5440837424076
WCOMP18.fits,505,25,1900,25.973542849870153,0.217099099875851,1028.5892860939616
WCOMP19.fits,505,25,1900,25.83245156941707,0.21737062698351006,1027.9065879082204
WCOMP20_A.fits,505,25,1900,25.446866307822347,0.2169604187353983,1026.3154925965878
WCOMP20_A.fits,505,25,1900,25.446866307822347,0.2169604187353983,1026.3154925965878
WCOMP21.fits,505,25,1900,25.779146624388826,0.21698067371443056,1028.8139864639356
WCOMP22.fits,505,25,1900,25.75365968061953,0.21705125695032906,1028.669705844865
WCOMP23.fits,505,25,1900,25.6399768211913,0.21704326349125402,1028.6817787683333
WCOMP24.fits,505,25,1900,26.583128127394257,0.21707808244101093,1028.5269792368094
WCOMP25.fits,505,25,1900,25.484868883033066,0.21710987671573703,1028.5721626481718
WCOMP26.fits,505,25,1900,26.890884076266673,0.21726075942420542,1028.1483672314687
WCOMP27.fits,505,25,1900,26.57601417876133,0.21713354911375543,1028.3975433998075
WCOMP28.fits,505,25,1900,26.664362513506056,0.21713252966701552,1028.3995251522122
WCOMP29.fits,505,25,1900,26.77691942383183,0.21704082596936378,1028.5324005557488
WCOMP30.fits,505,25,1900,26.77691942383183,0.21704082596936378,1028.5324005557488
WCOMP31.fits,505,25,1900,27.227961339529514,0.21712574478213947,1028.326557556085
