File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana,Error_de_desplazamiento
WCOMP01.fits,768,25,1900,19.804949764592802,0.5638442329238678,249.49510041163433
WCOMP02.fits,768,25,1900,19.327766132174503,0.563880060680852,322.4811231860207
WCOMP03.fits,768,25,1900,20.2731675926613,0.6070949994984377,241.35624166512227
WCOMP04.fits,768,25,1900,20.028077981875054,0.6070322238545277,314.39804818806545
WCOMP05.fits,768,25,1900,20.027493818692218,0.6070288288233062,314.39955457542806
WCOMP06.fits,768,25,1900,18.86687218353242,0.5637048056506004,234.32509930344622
WCOMP07.fits,768,25,1900,20.00189903568285,0.6070429323164357,314.396895666849
WCOMP08.fits,768,25,1900,19.676444770773184,0.6068551741295478,241.53452349575295
WCOMP09.fits,768,25,1900,19.678440161436253,0.6068542039184124,241.5349674581027
WCOMP10.fits,768,25,1900,19.618277052979124,0.5638440944021125,249.54272439529808
WCOMP11.fits,768,25,1900,19.9119623113361,0.6068891918850318,241.41557928698967
WCOMP12.fits,768,25,1900,20.304789629720222,0.6070806980487252,241.12010776940036
WCOMP13.fits,768,25,1900,19.684355364707887,0.606863861329573,241.60046839273957
WCOMP14.fits,768,25,1900,19.688533313371597,0.606861912203636,241.60170786161268
WCOMP15.fits,768,25,1900,19.988467149877152,0.6069114355631854,241.37528261312707
WCOMP16.fits,768,25,1900,19.815182904834536,0.6068987928020472,241.58266393815956
WCOMP17.fits,768,25,1900,19.603805338339843,0.5639163820695157,322.35198995581493
WCOMP18.fits,768,25,1900,19.54843398458041,0.5638907806447119,322.37373612311603
WCOMP19.fits,768,25,1900,19.471715985393196,0.5643774476598212,322.1789817317163
WCOMP20_A.fits,768,25,1900,19.041255608742556,0.5637082717806737,322.62302122113033
WCOMP20_A.fits,768,25,1900,19.041255608742556,0.5637082717806737,322.62302122113033
WCOMP21.fits,768,25,1900,19.376439149615845,0.5637100494079074,249.4557837315803
WCOMP22.fits,768,25,1900,19.388432298049388,0.5638222236942406,322.4831517739648
WCOMP23.fits,768,25,1900,19.308411429837342,0.5638113565489736,322.48878032484106
WCOMP24.fits,768,25,1900,20.03874843088607,0.6069230358846046,241.36790760551168
WCOMP25.fits,768,25,1900,19.050805881126468,0.5639057967274722,322.54175088076994
WCOMP26.fits,768,25,1900,20.16759020262188,0.6072231245138937,314.2825834028304
WCOMP27.fits,768,25,1900,20.09591747541394,0.6070211548122328,241.39495968800549
WCOMP28.fits,768,25,1900,20.14993149402152,0.6070195436858661,241.39575905053434
WCOMP29.fits,768,25,1900,20.11203702451059,0.6068965967090029,240.7842987359763
WCOMP30.fits,768,25,1900,20.11203702451059,0.6068965967090029,240.7842987359763
WCOMP31.fits,768,25,1900,20.35142280849221,0.6070505432388945,241.314946560233
