File,Cant_Ventanas_Probadas,W_STEP,W_RANGE,Distance_mejor_ventana,IoU_mejor_ventana
WCOMP01.fits,1031,25,1900,4.057028118834213,0.0
WCOMP02.fits,1031,25,1900,4.092857532583559,0.0
WCOMP03.fits,1031,25,1900,4.363882834919626,0.0
WCOMP04.fits,1031,25,1900,4.309016607554484,0.0
WCOMP05.fits,1031,25,1900,4.310241740049649,0.0
WCOMP06.fits,1031,25,1900,4.0257479955700495,0.0
WCOMP07.fits,1031,25,1900,4.270411959337491,0.0
WCOMP08.fits,1031,25,1900,4.083181968516297,0.0
WCOMP09.fits,1031,25,1900,4.080109725332446,0.0
WCOMP10.fits,1031,25,1900,4.102097036454966,0.0
WCOMP11.fits,1031,25,1900,4.06347130759581,0.0
WCOMP12.fits,1031,25,1900,4.441910062477487,0.0
WCOMP13.fits,1031,25,1900,4.06450282688345,0.0
WCOMP14.fits,1031,25,1900,4.0674840724011805,0.0
WCOMP15.fits,1031,25,1900,4.06401831419156,0.0
WCOMP16.fits,1031,25,1900,4.085665978815732,0.0
WCOMP17.fits,1031,25,1900,4.207858201237518,0.0
WCOMP18.fits,1031,25,1900,4.204987149806816,0.0
WCOMP19.fits,1031,25,1900,4.188999408757216,0.0
WCOMP20_A.fits,1031,25,1900,3.998654736748509,0.0
WCOMP20_A.fits,1031,25,1900,3.998654736748509,0.0
WCOMP21.fits,1031,25,1900,4.047034923833711,0.0
WCOMP22.fits,1031,25,1900,4.012290238187434,0.0
WCOMP23.fits,1031,25,1900,3.9669407437666435,0.0
WCOMP24.fits,1031,25,1900,4.145491167999902,0.0
WCOMP25.fits,1031,25,1900,4.088933648832435,0.0
WCOMP26.fits,1031,25,1900,4.242338500090982,0.0
WCOMP27.fits,1031,25,1900,4.296401845173794,0.0
WCOMP28.fits,1031,25,1900,4.289391650306482,0.0
WCOMP29.fits,1031,25,1900,4.089875100331533,0.0
WCOMP30.fits,1031,25,1900,4.089875100331533,0.0
WCOMP31.fits,1031,25,1900,4.402936443986673,0.0
