Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
200,6.828e-31,,,,,6.828e-31,,,
201,4.155e-30,,,,,4.155e-30,,,
202,2.278e-29,,,,,2.278e-29,,,
203,1.125e-28,,,,,1.125e-28,,,
204,5.008e-28,,,,,5.008e-28,,,
205,2.009e-27,,,,,2.009e-27,,,
206,7.590e-27,,3.282e-28,,,7.261e-27,,,
207,2.778e-26,,4.124e-27,,,2.366e-26,,,
208,1.168e-25,,4.731e-26,,,6.948e-26,,,
209,6.821e-25,,4.982e-25,,,1.840e-25,,,
210,5.209e-24,,4.770e-24,,,4.392e-25,,,
211,4.265e-23,,4.171e-23,,,9.454e-25,,,
212,3.349e-22,,3.331e-22,,,1.836e-24,,,
213,2.433e-21,,2.430e-21,,,3.219e-24,,,
214,1.620e-20,,1.619e-20,,,5.103e-24,,,
215,9.858e-20,,9.857e-20,,,7.346e-24,,,
216,5.485e-19,,5.485e-19,,,9.698e-24,,,
217,2.789e-18,,2.789e-18,,,1.202e-23,,,
218,1.297e-17,,1.297e-17,,,1.468e-23,,,
219,5.518e-17,,5.518e-17,,,1.905e-23,,,
220,2.148e-16,,2.148e-16,,,2.784e-23,,,
221,7.660e-16,,7.660e-16,,,4.505e-23,,,
222,2.503e-15,,2.503e-15,,,7.513e-23,,,
223,7.503e-15,,7.503e-15,,,1.212e-22,,,
224,2.066e-14,,2.066e-14,,,1.829e-22,,,
225,5.230e-14,,5.230e-14,,,2.541e-22,,,
226,1.220e-13,,1.220e-13,,,3.235e-22,,,
227,2.628e-13,,2.628e-13,,,3.766e-22,,,
228,5.235e-13,,5.235e-13,,,4.006e-22,,,
229,9.679e-13,,9.679e-13,,,3.897e-22,,,
230,1.666e-12,,1.666e-12,,,3.470e-22,,,
231,2.681e-12,,2.681e-12,,,2.837e-22,,,
232,4.059e-12,,4.059e-12,,,2.149e-22,,,
233,5.824e-12,,5.824e-12,,,1.543e-22,,,
234,8.003e-12,,8.003e-12,,,1.119e-22,,,
235,1.066e-11,,1.066e-11,,,9.206e-23,,,
236,1.394e-11,,1.394e-11,,,9.506e-23,,,
237,1.801e-11,,1.801e-11,,,1.187e-22,,,
238,2.300e-11,,2.300e-11,,,1.610e-22,,,
239,2.880e-11,,2.880e-11,,,2.246e-22,,,
240,3.491e-11,,3.491e-11,,,3.241e-22,,,
241,4.040e-11,,4.040e-11,,,4.975e-22,,,
242,4.426e-11,,4.426e-11,,,8.178e-22,,,
243,4.586e-11,,4.586e-11,,,1.400e-21,,,
244,4.558e-11,,4.558e-11,,,2.390e-21,,,
245,4.547e-11,,4.547e-11,,,3.933e-21,,,
246,4.962e-11,,4.962e-11,,,6.107e-21,,,
247,6.435e-11,,6.435e-11,,,8.849e-21,,,
248,9.797e-11,,9.797e-11,,,1.190e-20,,,
249,1.598e-10,,1.598e-10,,,1.483e-20,,,
250,2.578e-10,,2.578e-10,,,1.709e-20,,,
251,3.953e-10,,3.953e-10,,,1.822e-20,,,
252,5.669e-10,,5.669e-10,,,1.796e-20,,,
253,7.558e-10,,7.558e-10,,,1.638e-20,,,
254,9.348e-10,,9.348e-10,,,1.387e-20,,,
255,1.072e-9,,1.072e-9,,,1.098e-20,,,
256,1.139e-9,,1.139e-9,,,8.340e-21,,,
257,1.122e-9,,1.122e-9,,,6.488e-21,,,
258,1.024e-9,,1.024e-9,,,5.860e-21,,,
259,8.661e-10,,8.661e-10,,,6.790e-21,,,
260,6.789e-10,,6.789e-10,,,9.532e-21,,,
261,4.932e-10,,4.932e-10,,,1.422e-20,,,
262,3.320e-10,,3.320e-10,,,2.076e-20,,,
263,2.071e-10,,2.071e-10,,,2.871e-20,,,
264,1.197e-10,,1.197e-10,,,3.722e-20,,,
265,6.415e-11,,6.415e-11,,,4.509e-20,,,
266,3.185e-11,,3.185e-11,,,5.099e-20,,,
267,1.465e-11,,1.465e-11,,,5.388e-20,,,
268,6.249e-12,,6.249e-12,,,5.335e-20,,,
269,2.469e-12,,2.469e-12,,,4.986e-20,,,
270,9.042e-13,,9.042e-13,,,4.487e-20,,,
271,3.068e-13,,3.068e-13,,,4.076e-20,,,
272,9.651e-14,,9.651e-14,,,4.078e-20,,,
273,2.815e-14,,2.815e-14,,,4.895e-20,,,
274,7.732e-15,,7.732e-15,,,7.006e-20,,,
275,2.565e-15,,2.565e-15,,,1.093e-19,,,
276,3.517e-15,,3.517e-15,,,1.715e-19,,,
277,1.359e-14,,1.359e-14,,,2.597e-19,,,
278,5.614e-14,,5.614e-14,,,3.732e-19,,,
279,2.210e-13,,2.210e-13,,,5.057e-19,,,
280,8.246e-13,,8.246e-13,,,6.448e-19,,,
281,2.914e-12,,2.914e-12,,,7.731e-19,,,
282,9.755e-12,,9.755e-12,,,8.714e-19,,,
283,3.093e-11,,3.093e-11,,,9.232e-19,,,
284,9.292e-11,,9.292e-11,,,9.194e-19,,,
285,2.644e-10,,2.644e-10,,,8.608e-19,,,
286,7.126e-10,,7.126e-10,,,7.578e-19,,,
287,1.819e-9,,1.819e-9,,,6.278e-19,,,
288,4.400e-9,,4.400e-9,,,4.902e-19,,,
289,1.008e-8,,1.008e-8,,,3.626e-19,,,
290,2.188e-8,,2.188e-8,,,2.574e-19,,,
291,4.497e-8,,4.497e-8,,,1.812e-19,,,
292,8.757e-8,,8.757e-8,,,1.357e-19,,,
293,1.615e-7,,1.615e-7,,,1.191e-19,,,
