'Teorical peaks','Empirical peaks','Normalized','Zero Padding','Teorical WeedOut','Empirical WeedOut','WeedOut Min Value','W_STEP','W_LENGTH','Count of Windows','Distance',,'IoU',,'Scroll Error',,'Time',
'TRUE','TRUE','TRUE','TRUE','TRUE','TRUE',20,75,2000,70,0.78,-0.54,0.31,-0.35,2653.95,-1913.70,0.02,0.00
'TRUE','TRUE','TRUE','TRUE','TRUE','TRUE',100,75,2000,70,2.41,-1.60,0.15,-0.11,2749.60,-1837.56,0.04,-0.01
'TRUE','TRUE','TRUE','TRUE','TRUE','TRUE',1000,75,2000,71,34.75,-14.31,0.32,-0.32,2093.56,-1491.62,0.42,-0.09
'TRUE','TRUE','TRUE','TRUE','TRUE','FALSE',20,75,2000,70,122.61,-48.14,0.23,-0.32,2141.27,-1064.87,0.42,-0.21
'TRUE','TRUE','TRUE','TRUE','TRUE','FALSE',100,75,2000,70,91.96,-36.04,0.33,-0.29,1846.50,-1179.73,0.46,-0.23
'TRUE','TRUE','TRUE','TRUE','TRUE','FALSE',1000,75,2000,71,69.21,-25.20,0.35,-0.29,1958.26,-1378.43,0.78,-0.41
'TRUE','TRUE','TRUE','TRUE','FALSE','TRUE',20,75,2000,72,0.43,-0.24,0.00,0.00,3113.81,-1653.61,0.09,-0.02
'TRUE','TRUE','TRUE','TRUE','FALSE','TRUE',100,75,2000,72,2.04,-0.93,0.00,0.00,3022.44,-1711.55,0.32,-0.12
'TRUE','TRUE','TRUE','TRUE','FALSE','TRUE',1000,75,2000,72,34.17,-7.71,0.02,-0.03,2208.13,-1315.80,3.15,-0.61
'TRUE','TRUE','TRUE','TRUE','FALSE','FALSE',20,75,2000,72,54.79,-18.58,0.03,-0.03,2221.99,-1342.68,5.35,-2.54
'TRUE','TRUE','TRUE','TRUE','FALSE','FALSE',100,75,2000,72,54.79,-18.58,0.03,-0.03,2221.99,-1342.68,5.35,-2.54
'TRUE','TRUE','TRUE','TRUE','FALSE','FALSE',1000,75,2000,72,54.79,-18.58,0.03,-0.03,2221.99,-1342.68,5.37,-2.56
'TRUE','TRUE','TRUE','FALSE','TRUE','TRUE',20,75,2000,67,0.73,-0.50,0.22,-0.35,2880.40,-1673.92,0.02,0.00
'TRUE','TRUE','TRUE','FALSE','TRUE','TRUE',100,75,2000,70,2.46,-1.58,0.10,-0.10,2792.63,-1788.92,0.04,-0.01
'TRUE','TRUE','TRUE','FALSE','TRUE','TRUE',1000,75,2000,71,30.05,-10.07,0.27,-0.31,2103.16,-1486.36,0.60,-0.11
'TRUE','TRUE','TRUE','FALSE','TRUE','FALSE',20,75,2000,67,126.80,-48.36,0.05,-0.06,2106.50,-1140.03,0.40,-0.20
'TRUE','TRUE','TRUE','FALSE','TRUE','FALSE',100,75,2000,70,93.43,-34.68,0.33,-0.29,1869.39,-1180.22,0.47,-0.23
'TRUE','TRUE','TRUE','FALSE','TRUE','FALSE',1000,75,2000,71,57.65,-21.32,0.30,-0.28,2027.28,-1446.56,1.06,-0.50
'TRUE','TRUE','TRUE','FALSE','FALSE','TRUE',20,75,2000,72,0.44,-0.24,0.00,0.00,3301.61,-1422.40,0.08,-0.02
'TRUE','TRUE','TRUE','FALSE','FALSE','TRUE',100,75,2000,72,2.08,-0.94,0.00,0.00,3023.15,-1712.08,0.28,-0.07
'TRUE','TRUE','TRUE','FALSE','FALSE','TRUE',1000,75,2000,72,34.04,-7.80,0.02,-0.03,2307.74,-1415.04,2.83,-0.58
'TRUE','TRUE','TRUE','FALSE','FALSE','FALSE',20,75,2000,72,55.10,-19.62,0.03,-0.03,2219.10,-1341.22,5.08,-2.41
'TRUE','TRUE','TRUE','FALSE','FALSE','FALSE',100,75,2000,72,55.10,-19.62,0.03,-0.03,2219.10,-1341.22,5.08,-2.42
'TRUE','TRUE','TRUE','FALSE','FALSE','FALSE',1000,75,2000,72,55.10,-19.62,0.03,-0.03,2219.10,-1341.22,5.07,-2.40
