ID,Cant_Picos_Detectados,Cant_Ventanas_Probadas,SIGMA,W_STEP,W_RANGE,RESOLUTION,HEIGHT,IoU_mejor_ventana,NAC_mejor_ventana
WCOMP01.fits,62,240,50,100,1900,300,0.025,0.11873928845736854,0.028697080440396403
WCOMP02.fits,61,240,50,100,1900,300,0.025,0.11882499869251725,0.02825906362149798
WCOMP03.fits,65,240,50,100,1900,300,0.025,0.11869573504743657,0.027918107001343073
WCOMP04.fits,64,240,50,100,1900,300,0.025,0.11872630070923294,0.029048548578325516
WCOMP05.fits,64,240,50,100,1900,300,0.025,0.11872938406008708,0.029073686791205124
WCOMP06.fits,63,240,50,100,1900,300,0.025,0.11888378993137819,0.027931992013902965
WCOMP07.fits,63,240,50,100,1900,300,0.025,0.11868141236760676,0.02916529914527052
WCOMP08.fits,64,240,50,100,1900,300,0.025,0.11877163277795992,0.028335912091698025
WCOMP09.fits,64,240,50,100,1900,300,0.025,0.11877232715691667,0.028375770988761127
WCOMP10.fits,62,240,50,100,1900,300,0.025,0.1187843710744347,0.028652450201281127
WCOMP11.fits,62,240,50,100,1900,300,0.025,0.1187655248593886,0.028496680492043517
WCOMP12.fits,66,240,50,100,1900,300,0.025,0.11870134800162715,0.02760840908924736
WCOMP13.fits,64,240,50,100,1900,300,0.025,0.118775418726962,0.02880157655657887
WCOMP14.fits,64,240,50,100,1900,300,0.025,0.11877359948057715,0.028822789520738728
WCOMP15.fits,62,240,50,100,1900,300,0.025,0.11874582768599425,0.028842362155431168
WCOMP16.fits,61,240,50,100,1900,300,0.025,0.11876725185172406,0.0289829296745591
WCOMP17.fits,62,240,50,100,1900,300,0.025,0.11880008049633083,0.028990043333057967
WCOMP18.fits,62,240,50,100,1900,300,0.025,0.11882884922861249,0.028970293981166167
WCOMP19.fits,63,240,50,100,1900,300,0.025,0.11853164294919269,0.029919507167805504
WCOMP20_A.fits,62,240,50,100,1900,300,0.025,0.11885450691138585,0.028307859121943287
WCOMP20_A.fits,62,240,50,100,1900,300,0.025,0.11885450691138585,0.028307859121943287
WCOMP21.fits,62,240,50,100,1900,300,0.025,0.11889832753964806,0.028468923945542884
WCOMP22.fits,61,240,50,100,1900,300,0.025,0.11884839382731772,0.028012292881212954
WCOMP23.fits,60,240,50,100,1900,300,0.025,0.11885053713117125,0.027793253169774747
WCOMP24.fits,63,240,50,100,1900,300,0.025,0.1187570729796761,0.029239175040727133
WCOMP25.fits,60,240,50,100,1900,300,0.025,0.1188252627656588,0.02868344352618044
WCOMP26.fits,59,240,50,100,1900,300,0.025,0.11862354216877412,0.030308793394500114
WCOMP27.fits,64,240,50,100,1900,300,0.025,0.1187046136794854,0.029553778787345924
WCOMP28.fits,63,240,50,100,1900,300,0.025,0.11870525091766584,0.02962425278803391
WCOMP29.fits,63,240,50,100,1900,300,0.025,0.11872521019842464,0.026667292759051314
WCOMP30.fits,63,240,50,100,1900,300,0.025,0.11872521019842464,0.026667292759051314
WCOMP31.fits,63,240,50,100,1900,300,0.025,0.11863857258886863,0.029729519474185825
